"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"340","Max Willman","N.J","C","18","0.033333333333333","0.0018518518518519","0","1800","0.00","0","1800","0.00","0","1800","0.00","0","0","-","0","84.36","0.00","0","1800","0.00","0","0","-","0","0","-","0","2400","0.00","0","0","-","0","2600","0.00","0","0","-","-","100.00","1.00","0","0","1800","0","0.00","0","0","1800","0.00"
"237","Dominik Kubalik","OTT","L","74","0.066666666666667","0.0009009009009009","0","900","0.00","0","900","0.00","0","900","0.00","0","900","0.00","0","46.28","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1300","0.00","0","1300","0.00","-","0.00","0.00","0","0","0","1800","-","0","0","0","-"
"628","Joe Snively","WSH","C","3","0.21666666666667","0.072222222222222","0","553.85","0.00","0","553.85","0.00","0","276.92","0.00","0","0","-","0","83.73","0.00","0","553.85","0.00","0","0","-","0","0","-","0","738.46","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","276.92","0","0.00","0","0","276.92","0.00"
"470","Jacob MacDonald","S.J","D","34","0.75","0.022058823529412","0","400","0.00","0","320","0.00","0","160","0.00","0","0","-","0","32.09","0.00","0","320","0.00","0","160","0.00","0","0","-","0","213.33","0.00","0","0","-","0","346.67","0.00","0","0","-","-","100.00","1.00","80","0","160","0","33.33","80","0","160","33.33"
"647","Bobby Brink","PHI","R","57","0.5","0.0087719298245614","0","360","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","120","0.00","0","0","-","0","0","-","0","160","0.00","0","0","-","0","346.67","0.00","0","0","-","-","-","-","0","0","0","120","-","0","0","0","-"
"717","Cole Perfetti","WPG","C","71","0.16666666666667","0.0023474178403756","0","360","0.00","0","360","0.00","0","0","-","0","0","-","0","16.66","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","520","0.00","0","0","-","-","-","-","0","0","0","360","-","0","0","0","-"
"750","Logan Stankoven","DAL","C","24","0.16666666666667","0.0069444444444444","360","360","50.00","360","360","50.00","360","0","100.00","360","0","100.00","31.51","11.46","73.33","360","0","100.00","360","0","100.00","360","0","100.00","0","0","-","0","0","-","0","520","0.00","0","0","-","100.00","-","1.00","0","0","0","720","-","0","0","0","-"
"722","Shakir Mukhamadullin","S.J","D","3","0.18333333333333","0.061111111111111","0","327.27","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","945.45","0.00","0","0","-","-","-","-","0","0","327.27","0","0.00","0","0","327.27","0.00"
"641","Nils Hoglander","VAN","L","80","0.38333333333333","0.0047916666666667","0","313.04","0.00","0","313.04","0.00","0","0","-","0","0","-","0","33.8","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","452.17","0.00","0","0","-","-","-","-","0","0","0","156.52","-","0","0","0","-"
"728","Adam Raska","MIN","R","5","0.4","0.08","0","300","0.00","0","300","0.00","0","300","0.00","0","0","-","0","15.38","0.00","0","300","0.00","0","0","-","0","0","-","0","400","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","150","-","0","0","0","-"
"739","Daniil Miromanov","CGY, VGK","D","24","1.2","0.05","0","300","0.00","0","200","0.00","0","150","0.00","0","50","0.00","0","18.67","0.00","0","200","0.00","0","150","0.00","0","0","-","0","66.67","0.00","0","0","-","0","72.22","0.00","0","72.22","0.00","-","66.67","0.67","0","0","0","100","-","0","0","50","0.00"
"263","Robert Hagg","ANA","D","5","0.65","0.13","0","276.92","0.00","0","184.62","0.00","0","92.31","0.00","0","0","-","0","14.72","0.00","0","276.92","0.00","0","0","-","0","0","-","0","369.23","0.00","0","0","-","0","133.33","0.00","0","0","-","-","100.00","1.00","0","0","92.31","92.31","0.00","0","0","92.31","0.00"
"256","Andre Burakovsky","SEA","L","49","0.7","0.014285714285714","85.71","257.14","25.00","85.71","85.71","50.00","85.71","85.71","50.00","0","85.71","0.00","2.87","42.08","6.39","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","123.81","123.81","50.00","0","0","-","0.00","0.00","0.000","0","0","0","85.71","-","0","0","0","-"
