"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"40","Patrick Kane","DET","R","50","0.33333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.09","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","3","-","0","0","0","-"
"204","Filip Forsberg","NSH","L","82","0.85","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","1","0","7","-","0","1","0","-"
"280","Max Domi","TOR","C","80","0.33333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","4","-","0","0","0","-"
"318","David Pastrnak","BOS","R","82","5.7833333333333","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.1","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","1","1","30","0.00","0","1","1","0.00"
"364","Timo Meier","N.J","R","69","1.1833333333333","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","-","-","0","0","1","4","0.00","0","0","1","0.00"
"405","Artemi Panarin","NYR","L","82","2.8166666666667","2","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","3","0","100.00","1","0","100.00","100.00","-","1.00","1","0","0","6","100.00","1","0","0","100.00"
"449","Max Jones","ANA","L","52","1.2833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.17","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","3","-","0","0","0","-"
"497","Conor Timmins","TOR","D","25","2.2666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.14","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","1","2","7","0.00","0","1","2","0.00"
"611","Martin Pospisil","CGY","C","63","0.55","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.12","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","1","0.00","0","0","-","0.00","-","0.00","0","0","1","4","0.00","0","0","1","0.00"
"616","Scott Perunovich","STL","D","54","1.5","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","1","50.00","0","0","-","-","-","-","0","0","1","3","0.00","0","0","1","0.00"
"651","Jack Hughes","N.J","C","62","4.0666666666667","4","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.02","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","0","1","0","29","-","0","1","0","-"
"721","Tyson Foerster","PHI","R","77","2.4166666666667","2","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","0.08","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","1","0","100.00","2","1","66.67","0","0","-","100.00","-","1.00","1","2","1","4","50.00","1","3","1","50.00"
"764","Marc McLaughlin","BOS","C","1","1.4833333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","2","-","0","0","1","0.00"
