"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"800","Parker Kelly","OTT","C","1","5.9","11","3","78.57","7","3","70.00","4","2","66.67","1","0","100.00","0.36","0.2","64.71","6","2","75.00","1","2","33.33","0","0","-","5","0","100.00","0","0","-","3","1","75.00","1","0","100.00","25.00","100.00","1.250","0","0","2","7","0.00","0","1","4","0.00"
"244","Kenny Agostino","TOR","L","1","4.1333333333333","3","1","75.00","3","1","75.00","2","1","66.67","0","0","-","0.08","0.02","80.36","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","1","50.00","0","0","-","0.00","100.00","1.000","0","2","0","4","-","0","2","2","0.00"
"383","Scott Sabourin","TOR","R","1","4.4833333333333","3","1","75.00","3","1","75.00","0","0","-","0","0","-","0.07","0.09","44.33","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","3","0","100.00","0","0","-","-","-","-","0","1","0","6","-","0","1","0","-"
"668","Logan Brown","OTT","C","1","5.7166666666667","8","3","72.73","3","3","50.00","2","3","40.00","0","0","-","0.07","0.23","24.36","5","3","62.50","0","3","0.00","0","0","-","5","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","100.00","1.000","0","1","2","6","0.00","0","1","2","0.00"
"430","Justin Bailey","VAN","R","3","19.65","26","12","68.42","22","12","64.71","17","11","60.71","0","2","0.00","1.48","0.57","72.12","13","4","76.47","5","2","71.43","0","1","0.00","8","2","80.00","0","0","-","11","8","57.89","0","1","0.00","0.00","81.82","0.818","8","7","1","20","88.89","9","7","2","81.82"
"840","Jan Jenik","ARI","R","2","24.166666666667","26","12","68.42","20","10","66.67","14","7","66.67","3","0","100.00","1.69","0.44","79.39","9","6","60.00","4","3","57.14","0","0","-","5","3","62.50","2","0","100.00","16","6","72.73","1","0","100.00","21.43","100.00","1.214","7","7","3","15","70.00","9","12","5","64.29"
"765","Timothy Liljegren","TOR","D","2","26.366666666667","30","15","66.67","21","11","65.63","14","7","66.67","1","0","100.00","1.56","0.66","70.18","18","9","66.67","7","1","87.50","1","0","100.00","11","8","57.89","0","0","-","10","6","62.50","0","0","-","7.14","100.00","1.071","0","3","1","36","0.00","9","5","2","81.82"
"805","Kiefer Sherwood","COL","L","16","137.13333333333","162","82","66.39","110","54","67.07","84","41","67.20","6","4","60.00","7.31","2.12","77.52","67","27","71.28","35","10","77.78","3","3","50.00","32","17","65.31","1","0","100.00","77","42","64.71","2","1","66.67","7.14","90.24","0.974","14","26","13","144","51.85","32","40","32","50.00"
"588","Kyle Capobianco","ARI","D","2","24.333333333333","29","15","65.91","19","12","61.29","13","9","59.09","0","2","0.00","0.97","0.77","55.75","9","9","50.00","4","5","44.44","0","2","0.00","5","4","55.56","0","0","-","18","5","78.26","0","0","-","0.00","77.78","0.778","6","7","1","25","85.71","16","7","3","84.21"
"393","Kyle Burroughs","COL","D","5","47.666666666667","54","31","63.53","41","24","63.08","30","17","63.83","2","1","66.67","2.32","1.31","64.00","26","8","76.47","11","5","68.75","2","0","100.00","15","3","83.33","0","1","0.00","22","17","56.41","0","0","-","6.67","94.12","1.008","9","7","5","48","64.29","16","13","13","55.17"
"556","Mikko Rantanen","COL","R","52","826.55","963","569","62.86","695","423","62.16","489","312","61.05","60","28","68.18","44.12","26.17","62.77","482","252","65.67","169","97","63.53","19","12","61.29","313","155","66.88","28","10","73.68","428","259","62.30","11","3","78.57","12.27","91.03","1.033","205","224","75","530","73.21","382","354","184","67.49"
"19","Patrice Bergeron","BOS","C","54","706.71666666667","817","485","62.75","657","369","64.04","495","259","65.65","53","28","65.43","36.52","22.61","61.76","369","240","60.59","136","94","59.13","23","18","56.10","233","146","61.48","15","4","78.95","401","214","65.20","14","5","73.68","10.71","89.19","0.999","169","181","129","508","56.71","345","244","243","58.67"
"437","Nathan MacKinnon","COL","C","48","779.06666666667","931","553","62.74","678","416","61.97","476","306","60.87","56","32","63.64","44.98","28","61.63","482","258","65.14","173","99","63.60","22","13","62.86","309","159","66.03","18","11","62.07","399","239","62.54","15","4","78.95","11.76","89.54","1.013","186","217","67","494","73.52","370","345","171","68.39"
"459","Philippe Maillet","WSH","C","2","18.3","20","12","62.50","13","12","52.00","8","9","47.06","0","1","0.00","0.61","0.69","46.91","8","6","57.14","5","3","62.50","0","1","0.00","3","3","50.00","0","0","-","10","5","66.67","0","0","-","0.00","88.89","0.889","2","6","1","17","66.67","5","7","1","83.33"
"857","Logan O'Connor","COL","R","22","201.28333333333","220","133","62.32","167","93","64.23","121","65","65.05","8","2","80.00","10.04","4","71.52","100","49","67.11","41","18","69.49","3","0","100.00","59","31","65.56","2","2","50.00","104","67","60.82","3","0","100.00","6.61","96.92","1.035","19","42","27","187","41.30","36","57","58","38.30"
"295","Gabriel Landeskog","COL","L","54","851.63333333333","965","596","61.82","696","455","60.47","489","330","59.71","55","40","57.89","44.71","29.01","60.65","472","264","64.13","168","112","60.00","22","18","55.00","304","152","66.67","21","14","60.00","439","280","61.06","10","5","66.67","11.25","87.88","0.991","208","228","80","524","72.22","377","349","190","66.49"
"58","Brad Marchand","BOS","C, L","53","745.06666666667","834","526","61.32","668","408","62.08","504","289","63.56","54","31","63.53","38.53","25.6","60.08","380","266","58.82","142","106","57.26","24","16","60.00","238","160","59.80","15","7","68.18","407","226","64.30","13","6","68.42","10.71","89.27","1.000","155","172","119","524","56.57","342","243","244","58.36"
"29","Alexander Radulov","DAL","R","11","155.1","160","101","61.30","121","65","65.05","81","39","67.50","11","1","91.67","7.67","4.83","61.37","78","45","63.41","37","17","68.52","7","1","87.50","41","28","59.42","2","0","100.00","71","40","63.96","2","0","100.00","13.58","97.44","1.110","38","32","12","124","76.00","66","39","29","69.47"
"495","David Pastrnak","BOS","R","48","722.71666666667","798","512","60.92","644","395","61.98","472","289","62.02","47","31","60.26","33.78","22.96","59.53","355","251","58.58","126","95","57.01","18","15","54.55","229","156","59.48","16","7","69.57","391","223","63.68","12","7","63.16","9.96","89.27","0.992","144","145","103","500","58.30","320","211","209","60.49"
"696","Jacob MacDonald","COL","D","33","464.51666666667","528","340","60.83","376","246","60.45","272","171","61.40","23","9","71.88","23.5","12.58","65.13","243","152","61.52","90","61","59.60","13","2","86.67","153","91","62.70","7","5","58.33","260","161","61.76","2","2","50.00","8.46","94.74","1.032","61","85","58","433","51.26","143","135","116","55.21"
"771","Cale Makar","COL","D","44","844.16666666667","936","608","60.62","670","467","58.93","475","332","58.86","54","36","60.00","40.13","28.3","58.64","453","278","61.97","182","113","61.69","22","15","59.46","271","165","62.16","20","14","58.82","428","272","61.14","12","4","75.00","11.37","89.16","1.005","171","188","101","554","62.87","362","320","204","63.96"
"245","Brendan Gallagher","MTL","R","35","453","546","357","60.47","408","263","60.80","287","184","60.93","29","18","61.70","23.63","16.87","58.34","251","159","61.22","102","68","60.00","15","10","60.00","149","91","62.08","8","5","61.54","259","168","60.66","5","3","62.50","10.10","90.22","1.003","67","122","82","355","44.97","133","168","144","48.01"
"535","Ondrej Kase","BOS","R","3","22.933333333333","32","21","60.38","26","15","63.41","20","12","62.50","0","0","-","1.53","0.89","63.39","17","9","65.38","8","4","66.67","0","0","-","9","5","64.29","0","0","-","11","10","52.38","0","0","-","0.00","100.00","1.000","9","0","0","25","100.00","16","0","2","88.89"
"446","Valeri Nichushkin","COL","R","55","645.86666666667","726","480","60.20","541","351","60.65","400","254","61.16","31","23","57.41","33.41","20.37","62.12","351","222","61.26","152","95","61.54","23","12","65.71","199","127","61.04","6","6","50.00","328","209","61.08","1","4","20.00","7.75","90.94","0.987","95","125","68","570","58.28","162","182","163","49.85"
"711","Joachim Blichfeld","S.J","R","5","37.833333333333","33","22","60.00","19","16","54.29","13","13","50.00","1","3","25.00","0.77","1.05","42.29","9","9","50.00","3","5","37.50","1","2","33.33","6","4","60.00","0","0","-","19","11","63.33","0","1","0.00","7.69","76.92","0.846","9","8","7","35","56.25","12","13","11","52.17"
"685","Samuel Girard","COL","D","48","938.36666666667","1040","694","59.98","754","511","59.60","558","373","59.94","50","36","58.14","45.57","29.15","60.99","503","302","62.48","173","129","57.28","23","14","62.16","330","173","65.61","20","19","51.28","497","335","59.74","7","3","70.00","8.96","90.35","0.993","165","212","111","642","59.78","390","324","239","62.00"
"516","Devon Toews","COL","D","53","1055.8833333333","1127","757","59.82","840","551","60.39","601","397","60.22","66","37","64.08","53.49","29.52","64.44","569","334","63.01","216","137","61.19","31","20","60.78","353","197","64.18","22","11","66.67","483","334","59.12","10","5","66.67","10.98","90.68","1.017","173","229","125","690","58.05","394","379","286","57.94"
"301","Sean Couturier","PHI","C","45","661","710","477","59.81","530","364","59.28","385","285","57.46","42","43","49.41","28.8","24.38","54.16","312","239","56.62","112","97","53.59","17","21","44.74","200","142","58.48","16","12","57.14","345","209","62.27","6","8","42.86","10.91","84.91","0.958","155","175","115","443","57.41","243","234","225","51.92"
"173","Tomas Tatar","MTL","L","50","642.86666666667","719","487","59.62","522","363","58.98","385","250","60.63","31","30","50.82","29.81","23.17","56.26","339","228","59.79","138","94","59.48","17","16","51.52","201","134","60.00","8","11","42.11","322","215","59.96","5","3","62.50","8.05","88.00","0.961","102","149","118","527","46.36","196","215","203","49.12"
"609","Derek Ryan","CGY","C","43","424.45","431","295","59.37","318","214","59.77","210","151","58.17","18","12","60.00","18.65","11.39","62.08","214","122","63.69","79","40","66.39","9","11","45.00","135","82","62.21","9","1","90.00","186","150","55.36","0","0","-","8.57","92.05","1.006","65","77","59","413","52.42","123","104","100","55.16"
"344","Matt Grzelcyk","BOS","D","37","612.38333333333","659","453","59.26","530","340","60.92","398","239","62.48","32","18","64.00","26.79","19.29","58.14","298","216","57.98","108","80","57.45","15","12","55.56","190","136","58.28","8","6","57.14","320","209","60.49","9","0","100.00","8.04","92.47","1.005","109","121","107","512","50.46","235","178","203","53.65"
"419","Andre Burakovsky","COL","L","53","683.03333333333","785","542","59.16","563","418","57.39","413","308","57.28","37","33","52.86","31.47","23.32","57.43","359","258","58.18","119","102","53.85","19","11","63.33","240","156","60.61","12","16","42.86","377","233","61.80","6","5","54.55","8.96","89.29","0.982","112","144","75","563","59.89","237","214","158","60.00"
"758","Morgan Frost","PHI","C","2","18.9","20","14","58.82","10","11","47.62","6","10","37.50","0","0","-","0.62","0.49","55.99","9","7","56.25","1","2","33.33","0","0","-","8","5","61.54","0","0","-","11","6","64.71","0","0","-","0.00","100.00","1.000","7","3","2","17","77.78","11","6","4","73.33"
"648","Charlie McAvoy","BOS","D","51","996.2","1071","754","58.68","852","576","59.66","636","390","61.99","60","37","61.86","49.06","33.54","59.40","522","370","58.52","199","140","58.70","26","21","55.32","323","230","58.41","15","9","62.50","496","340","59.33","17","5","77.27","9.43","90.51","0.999","161","197","155","684","50.95","393","290","323","54.89"
"438","Aleksander Barkov","FLA","C","50","774.35","831","586","58.65","652","463","58.48","499","338","59.62","48","33","59.26","43.15","30.34","58.72","411","276","59.83","170","107","61.37","28","22","56.00","241","169","58.78","9","9","50.00","374","274","57.72","9","2","81.82","9.62","90.24","0.999","132","220","100","497","56.90","279","301","230","54.81"
"802","Joey Keane","CAR","D","1","16.916666666667","17","12","58.62","13","12","52.00","10","7","58.82","0","1","0.00","0.61","0.74","45.34","5","9","35.71","3","4","42.86","0","0","-","2","5","28.57","0","0","-","10","3","76.92","0","1","0.00","0.00","85.71","0.857","3","1","3","14","50.00","6","3","4","60.00"
"487","Sonny Milano","ANA","L","6","80.016666666667","83","59","58.45","66","39","62.86","46","24","65.71","1","1","50.00","3.45","2.32","59.82","34","30","53.13","15","12","55.56","0","1","0.00","19","18","51.35","1","0","100.00","46","25","64.79","0","0","-","2.17","95.83","0.980","16","16","20","52","44.44","27","22","35","43.55"
"672","Tyson Jost","COL","C","54","636.83333333333","653","466","58.36","483","338","58.83","349","245","58.75","31","17","64.58","28.47","18.75","60.29","317","209","60.27","117","93","55.71","18","7","72.00","200","116","63.29","9","7","56.25","289","216","57.23","4","3","57.14","8.88","93.06","1.019","85","114","75","541","53.13","157","176","164","48.91"
"405","Sean Malone","NSH","C","1","9.5333333333333","14","10","58.33","9","9","50.00","7","7","50.00","1","2","33.33","0.4","0.92","30.18","8","6","57.14","2","3","40.00","0","2","0.00","6","3","66.67","1","0","100.00","4","4","50.00","0","0","-","14.29","71.43","0.857","3","2","1","8","75.00","5","3","2","71.43"
"377","Nikita Gusev","FLA, N.J","L","31","362.51666666667","391","282","58.10","299","218","57.83","223","172","56.46","9","18","33.33","17.91","16","52.81","185","145","56.06","63","69","47.73","6","9","40.00","122","76","61.62","2","6","25.00","179","126","58.69","1","2","33.33","4.04","89.53","0.936","74","70","45","291","62.18","134","98","97","58.01"
"412","Carter Verhaeghe","FLA","C","43","691.98333333333","756","549","57.93","567","423","57.27","435","302","59.02","45","22","67.16","40.31","25.53","61.23","377","253","59.84","168","91","64.86","26","16","61.90","209","162","56.33","10","3","76.92","342","258","57.00","7","3","70.00","10.34","92.72","1.031","106","196","89","437","54.36","217","260","217","50.00"
"468","Patrick Brown","VGK","C","4","36.333333333333","33","24","57.89","26","15","63.41","14","14","50.00","0","0","-","0.93","0.77","54.77","8","8","50.00","1","3","25.00","0","0","-","7","5","58.33","0","0","-","23","12","65.71","0","0","-","0.00","100.00","1.000","2","11","3","34","40.00","8","12","9","47.06"
"310","Phillip Danault","MTL","C","53","747.35","829","609","57.65","600","447","57.31","419","308","57.63","37","31","54.41","35.71","27.48","56.51","377","277","57.65","154","121","56.00","21","17","55.26","223","156","58.84","8","10","44.44","393","277","58.66","6","3","66.67","8.83","89.94","0.988","122","196","187","520","39.48","228","257","334","40.57"
"24","Joe Pavelski","DAL","C","56","849.41666666667","865","637","57.59","635","468","57.57","427","326","56.71","45","23","66.18","38.9","30.97","55.67","410","278","59.59","171","115","59.79","26","12","68.42","239","163","59.45","13","4","76.47","396","290","57.73","5","6","45.45","10.54","92.94","1.035","221","159","136","638","61.90","383","233","265","59.10"
"138","Matt Calvert","COL","L","18","203.88333333333","199","147","57.51","133","110","54.73","96","83","53.63","4","6","40.00","8.78","5.16","62.97","100","58","63.29","36","18","66.67","2","4","33.33","64","40","61.54","1","2","33.33","90","77","53.89","0","0","-","4.17","92.77","0.969","24","34","26","176","48.00","41","45","60","40.59"
"882","Alex Newhook","COL","C","6","75.083333333333","77","57","57.46","60","39","60.61","38","25","60.32","6","1","85.71","3.53","2.1","62.76","40","29","57.97","15","8","65.22","3","0","100.00","25","21","54.35","3","1","75.00","30","25","54.55","0","0","-","15.79","96.00","1.118","14","13","5","68","73.68","28","25","16","63.64"
"384","Buddy Robinson","CGY","R","9","64.15","62","46","57.41","40","36","52.63","27","24","52.94","1","1","50.00","1.76","1.72","50.53","22","17","56.41","6","7","46.15","0","1","0.00","16","10","61.54","1","0","100.00","34","29","53.97","0","0","-","3.70","95.83","0.995","8","9","8","76","50.00","21","13","14","60.00"
"67","Claude Giroux","PHI","C","54","795.48333333333","824","612","57.38","624","472","56.93","453","353","56.20","50","49","50.51","35.66","29.93","54.37","368","303","54.84","144","120","54.55","28","24","53.85","224","183","55.04","12","14","46.15","398","266","59.94","8","9","47.06","11.04","86.12","0.972","198","210","160","564","55.31","309","263","312","49.76"
"284","Tomas Jurco","VGK","R","8","71.483333333333","78","58","57.35","58","41","58.59","45","21","68.18","3","3","50.00","3.01","3.22","48.35","42","30","58.33","10","14","41.67","1","3","25.00","32","16","66.67","2","0","100.00","30","22","57.69","0","0","-","6.67","85.71","0.924","19","17","7","58","73.08","29","22","14","67.44"
